id,file,normed,cat,word,wordcat,inflected_prop,conc_cat,main,Perceptualstrength,Exclusivity,Auditory,Haptic,Visual,SD_Auditory,SD_Haptic,SD_Visual,freq_lg10CD_SUBTLEXNL,freq_lg10WF_SUBTLEXNL,freq_CELEX_lem,inflected_adj_freq_lg10CD_SUBTLEXNL,AoA_Brysbaertetal2014,concrete_Brysbaertetal2014,known_Brysbaertetal2014,letters,phonemes_DUTCHPOND,orth_neighbours_DUTCHPOND,phon_neighbours_DUTCHPOND,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,a8,h8,v8,a9,h9,v9,a10,h10,v10,English_Word_Lynott_Connell_2009_2013,English_Main_Lynott_Connell_2009_2013,English_Perceptualstrength_Lynott_Connell_2009_2013,English_Exclusivity_Lynott_Connell_2009_2013,English_Auditory_Lynott_Connell_2009_2013,English_Haptic_Lynott_Connell_2009_2013,English_Visual_Lynott_Connell_2009_2013,English_Letters_Lynott_Connell_2009_2013
1,1,Dutch,Concept,aankondiging,noun,NA,de,Auditory,4.286,0.481,4.286,0.714,2.429,1.496,1.254,1.397,2.06,2.13,0.778,NA,9,2.2,100,12,10,0,0,5,2,4,4,3,4,5,0,2,5,0,2,5,0,0,1,0,3,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,announcement,NA, ,NA,NA,NA,NA,12
2,1,Dut_Eng,Concept,aantekening,noun,NA,de,Visual,3.286,0.222,1.571,2.857,3.286,1.512,1.952,1.799,1.76,1.81,1.38,NA,11.44,3.53,100,11,9,0,0,3,4,4,4,5,5,1,5,5,1,1,4,0,0,0,2,3,2,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,note,Visual,2.765,0.465,2.176,2.765,4.294,4
3,2,Dut_Eng,Concept,aanvraag,noun,NA,de,Visual,2.444,0.319,2,0.778,2.444,1.581,1.394,2.128,2.25,2.35,0.903,NA,11.5,2.67,100,8,6,0,0,4,0,5,0,0,0,1,2,2,4,4,1,2,0,0,1,1,5,3,0,5,0,0,1,3,0,3,NA,NA,NA,appeal,Visual,2.294,0.216,2.294,1.235,3.294,6
6,2,Dut_Eng,Concept,academie,noun,NA,de,Visual,3.667,0.359,2.333,1.111,3.667,2.345,1.453,1.936,2.26,2.55,1.041,NA,9.67,3.2,100,8,7,0,0,4,0,5,5,3,5,5,3,5,1,1,4,0,0,1,5,3,5,0,0,3,0,0,0,1,0,5,NA,NA,NA,academy,Visual,1.412,0.556,1.412,0.471,2.706,7
7,3,Dut_Eng,Concept,achtergrond,noun,NA,de,Visual,3.556,0.51,0.667,1.444,3.556,1,2.242,1.59,2.7,2.76,1.799,NA,9.28,3.2,100,11,10,0,0,0,5,5,2,0,3,0,0,0,2,3,3,0,5,5,0,0,4,0,0,5,2,0,3,0,0,4,NA,NA,NA,background,Visual,1.824,0.528,1.824,0.529,3.471,10
8,2,Dut_Eng,Concept,administratie,noun,NA,de,Visual,3.222,0.389,1.889,0.889,3.222,2.421,1.167,2.224,2.27,2.36,1.176,NA,10.95,2.2,100,13,13,1,0,0,0,5,5,0,0,2,1,4,0,2,4,0,3,5,5,2,5,0,0,5,0,0,0,5,0,1,NA,NA,NA,administration,Visual,1.75,0.494,1.75,0.5,2.625,14
10,3,Dut_Eng,Concept,afbeelding,noun,NA,de,Visual,5,0.578,0.889,1.222,5,1.833,1.716,0,1.83,1.88,1.204,NA,6.72,4.27,100,10,8,0,0,0,0,5,0,1,5,0,0,5,5,5,5,0,1,5,0,0,5,3,1,5,0,0,5,0,3,5,NA,NA,NA,picture,Visual,1.529,0.675,0.235,1.529,4.765,7
11,2,Dut_Eng,Concept,afdeling,noun,NA,de,Visual,3,0.571,1.333,0.333,3,1.414,0.707,1.936,2.99,3.16,1.82,NA,10.25,2.67,97.9,8,7,1,1,3,0,5,0,0,0,3,2,3,2,0,4,0,0,2,3,1,4,0,0,4,0,0,0,1,0,5,NA,NA,NA,department,Visual,1.588,0.509,1.588,0.471,3.588,10
12,3,Dut_Eng,Concept,afsluiting,noun,NA,de,Visual,2.778,0.354,0.889,1.667,2.778,1.167,1.581,1.856,1.85,1.93,0.903,NA,8.72,3.53,100,10,8,0,0,2,3,5,1,1,3,0,5,0,3,2,4,0,0,0,0,2,5,0,0,3,2,1,3,0,1,2,NA,NA,NA,close,Visual,2.941,0.356,1.941,2.941,3.941,5
13,1,Dut_Eng,Concept,afstand,noun,NA,de,Visual,4.286,0.458,1.429,1.143,4.286,1.397,1.215,0.756,3.11,3.24,2.1,NA,6.84,2.47,100,7,7,0,1,2,2,5,2,3,3,3,0,4,3,2,4,0,0,5,0,0,5,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,distance,Visual,2.313,0.501,2.313,1.938,4.824,8
