word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,missing
erkenning,2,4,4,4,3,3,5,5,4,1,4,4,0,5,2,1,4,3,3,3,1,0
platform,0,0,2,3,3,3,0,4,2,2,3,4,0,0,5,1,0,4,1,1,3,0
stem,3,5,1,1,5,2,0,5,0,0,4,1,0,5,1,0,5,2,0,5,2,0
moment,4,2,4,1,1,1,0,5,5,3,3,3,0,0,0,0,2,2,0,2,3,0
levering,,,,1,2,3,5,5,5,3,3,3,0,0,0,1,1,1,4,3,4,3
stuk,2,2,4,1,1,1,5,4,4,3,0,4,0,3,5,0,0,0,4,1,4,0
onderzoek,5,1,4,2,3,4,5,4,5,2,3,3,0,3,5,1,2,1,2,1,3,0
factor,2,2,3,3,3,2,2,4,3,1,1,1,0,0,0,0,0,0,1,2,3,0
inspanning,5,5,5,3,2,3,0,5,5,3,3,3,2,2,4,5,2,5,0,1,3,0
bibliotheek,3,3,4,3,2,5,5,5,5,3,3,3,0,2,5,1,0,2,2,2,4,0
kip,4,4,5,2,1,3,5,5,5,3,4,3,3,3,5,0,0,0,4,4,4,0
zicht,3,4,5,2,2,2,0,0,5,0,0,5,0,0,5,0,2,5,3,3,5,0
ruzie,4,4,4,1,1,2,4,5,5,3,3,3,3,5,5,1,2,3,0,5,4,0
gemak,4,2,3,5,3,4,0,3,4,1,4,4,0,0,0,1,0,0,1,1,2,0
trots,3,3,5,4,4,4,2,4,5,1,4,4,0,0,3,0,1,2,0,2,2,0
schade,4,2,3,2,3,4,3,4,5,3,4,4,3,5,3,1,0,2,4,3,4,0
doel,5,4,4,2,4,2,0,3,3,3,5,4,0,3,0,0,0,0,3,2,1,0
ideaal,4,2,2,3,3,3,0,4,2,1,3,4,0,0,0,0,0,5,1,2,1,0
vel,5,2,2,1,1,1,5,0,5,4,0,5,3,0,5,5,0,5,5,3,4,0
succes,4,3,4,3,4,4,0,4,4,0,4,4,0,3,3,1,2,5,1,2,3,0
situatie,4,3,3,3,4,5,0,3,4,2,4,4,0,0,0,0,0,5,0,1,1,0
loon,4,1,2,2,3,2,4,4,5,0,2,4,0,0,5,2,0,0,3,1,0,0
oorsprong,4,2,3,2,2,1,0,2,2,2,4,4,0,0,0,0,0,0,2,0,2,0
katoen,5,1,1,4,1,1,5,0,5,3,0,4,2,0,3,5,0,5,5,0,3,0
voornemen,3,4,5,3,3,3,0,5,1,3,4,2,0,3,3,0,2,2,0,4,2,0
waarde,4,3,5,3,3,3,3,5,4,2,3,4,0,3,0,0,0,1,0,1,1,0
tevredenheid,4,5,5,4,5,3,0,5,5,1,3,4,0,4,2,1,3,5,0,2,3,0
rok,4,2,2,3,2,1,5,0,5,3,0,4,4,0,5,5,0,5,4,0,4,0
huishouden,4,4,4,3,2,1,0,0,5,1,3,4,0,3,3,3,0,3,3,3,3,0
gevoel,5,5,5,3,4,2,0,5,2,4,2,4,0,3,5,5,3,5,0,1,2,0
oosten,1,2,4,1,1,1,0,0,3,0,3,4,0,0,0,0,0,5,0,0,3,0
beurt,3,3,4,4,1,1,0,2,4,0,3,4,0,0,0,0,0,0,0,2,1,0
president,0,3,3,1,3,1,0,4,5,0,3,4,0,3,5,0,0,0,2,3,4,0
vertrouwen,,,,,,,,,,,,,,,,1,2,5,1,4,3,15
openbaar,2,3,4,4,4,4,0,2,4,2,3,4,0,0,0,0,0,5,1,1,3,0
hoeveelheid,5,4,5,3,2,1,4,0,5,3,3,4,0,0,5,0,0,0,2,0,4,0
wacht,4,3,3,3,2,2,0,0,2,1,0,4,0,0,0,0,0,5,0,0,1,0
selectie,2,4,4,2,2,2,0,2,3,2,3,4,0,0,0,1,0,5,4,1,2,0
